ticket_id,created_at,created_timestamp,status,first_solved_at,ticket_brand,ticket_channel,ticket_form,ticket_group,ticket_priority,ticket_type,submitter_role,requester_organization,is_one_touch_resolution,is_two_touch_resolution,is_multi_touch_resolution,first_assignment_to_resolution_calendar_minutes,requester_wait_time_in_calendar_minutes,ticket_satisfaction_score,first_reply_time_calendar_minutes,last_assignment_to_resolution_calendar_minutes,final_resolution_calendar_minutes,assignee_name
157983,2023-08-14 08:49:14.000000,2023-08-14 08:49:14.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,question,end-user,The Spice Route,FALSE,FALSE,FALSE,,427,,427.3666667,,,Pam Beesly (later Pam Halpert)
157977,2023-08-14 07:53:12.000000,2023-08-14 07:53:12.000000,solved,2023-08-14 08:45:24.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,incident,end-user,Sky Tours,FALSE,TRUE,FALSE,45,25,bad,18.91666667,45,52,Andy Bernard
157975,2023-08-14 07:47:33.000000,2023-08-14 07:47:33.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,task,end-user,Clean Scissor,FALSE,FALSE,FALSE,,212,,212.2666667,,,Andy Bernard
157969,2023-08-14 06:43:46.000000,2023-08-14 06:43:46.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,incident,end-user,Office Tile,FALSE,FALSE,FALSE,,663,,662.8666667,,,Phyllis Vance
157961,2023-08-14 05:54:39.000000,2023-08-14 05:54:39.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,task,end-user,Hospital Tutor,FALSE,FALSE,FALSE,,222,,221.35,,,Phyllis Vance
157956,2023-08-14 04:26:41.000000,2023-08-14 04:26:41.000000,hold,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,incident,end-user,Brunchies,FALSE,FALSE,FALSE,,771,,84.48333333,,,Dwight Schrute
157932,2023-08-13 21:00:59.000000,2023-08-13 21:00:59.000000,open,2023-08-14 02:34:21.000000,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,high,question,end-user,Service Scientist,FALSE,FALSE,FALSE,,702,,1.45,,334,Kevin Malone
157927,2023-08-13 17:42:22.000000,2023-08-13 17:42:22.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,task,agent,The Fresh Breakfast,FALSE,FALSE,FALSE,,1,,1.516666667,,,Oscar Martinez
157926,2023-08-13 16:03:35.000000,2023-08-13 16:03:35.000000,hold,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,task,end-user,Active Body,FALSE,FALSE,FALSE,,1610,,238.7666667,,,Michael Scott
157922,2023-08-13 14:20:47.000000,2023-08-13 14:20:47.000000,solved,2023-08-13 14:33:12.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,question,agent,Brunchies,FALSE,TRUE,FALSE,13,12,good,12.41666667,13,13,Darryl Philbin
157905,2023-08-13 00:02:58.000000,2023-08-13 00:02:58.000000,hold,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,task,end-user,Urban Philosophy,FALSE,FALSE,FALSE,,2571,,208.4333333,,,Roy Anderson
157874,2023-08-12 00:19:02.000000,2023-08-12 00:19:02.000000,closed,,Dunder Mifflin Support,email,Kelly Kapoor Support Form,DM Support,high,incident,agent,Bean Morning,FALSE,FALSE,TRUE,,0,good,,,,Jim Halpert
157870,2023-08-11 22:43:56.000000,2023-08-11 22:43:56.000000,open,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,task,end-user,My Plumber,FALSE,FALSE,FALSE,,2532,,405.4333333,,,Toby Flenderson
157865,2023-08-11 22:00:41.000000,2023-08-11 22:00:41.000000,solved,2023-08-14 14:58:30.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,incident,end-user,My Plumber,FALSE,FALSE,TRUE,2272,762,good,428.3,918,3898,Jan Levinson
157862,2023-08-11 21:43:09.000000,2023-08-11 21:43:09.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,problem,end-user,The Crunchy Croissant,FALSE,FALSE,FALSE,,72,,71.88333333,,,Karen Filippelli
157850,2023-08-11 20:30:27.000000,2023-08-11 20:30:27.000000,solved,2023-08-11 20:37:53.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,problem,agent,Bloom Marketing,FALSE,FALSE,TRUE,7,7,bad,,7,7,Creed Bratton
157849,2023-08-11 20:27:00.000000,2023-08-11 20:27:00.000000,solved,2023-08-11 20:38:36.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,problem,agent,Active Body,FALSE,FALSE,TRUE,11,11,good,,11,11,Kevin Malone
157848,2023-08-11 20:26:58.000000,2023-08-11 20:26:58.000000,closed,,Dunder Mifflin Support,email,Kelly Kapoor Support Form,DM Support,high,incident,agent,The Loop,FALSE,FALSE,TRUE,,0,bad,,,,Phyllis Vance
157840,2023-08-11 19:51:30.000000,2023-08-11 19:51:30.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,incident,end-user,Sister Inc,FALSE,FALSE,FALSE,,26,,25.81666667,,,Oscar Martinez
157839,2023-08-11 19:51:12.000000,2023-08-11 19:51:12.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,problem,agent,The Auto DNA,FALSE,FALSE,FALSE,,4,,4.3,,,Meredith Palmer
157823,2023-08-11 17:55:40.000000,2023-08-11 17:55:40.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,question,end-user,First Step,FALSE,FALSE,FALSE,,20,,19.66666667,,,Andy Bernard
157819,2023-08-11 17:49:26.000000,2023-08-11 17:49:26.000000,closed,,Dunder Mifflin Support,email,Kelly Kapoor Support Form,DM Support,normal,question,end-user,Gourmet Sandwich,FALSE,FALSE,TRUE,,0,bad,,,,Stanley Hudson
157818,2023-08-11 17:49:05.000000,2023-08-11 17:49:05.000000,open,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,task,end-user,Raven,FALSE,FALSE,FALSE,,4384,,216.3166667,,,Dwight Schrute
157800,2023-08-11 16:45:28.000000,2023-08-11 16:45:28.000000,solved,2023-08-11 17:48:08.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,task,agent,Service Scientist,TRUE,FALSE,FALSE,62,63,bad,62.66666667,62,63,Dwight Schrute
157792,2023-08-11 15:43:47.000000,2023-08-11 15:43:47.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,incident,end-user,The Auto DNA,FALSE,FALSE,FALSE,,169,,12.33333333,,,Toby Flenderson
157780,2023-08-11 14:12:43.000000,2023-08-11 14:12:43.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,task,end-user,Gourmet Sandwich,FALSE,FALSE,FALSE,,183,,183.2333333,,,Stanley Hudson
157755,2023-08-11 11:42:16.000000,2023-08-11 11:42:16.000000,closed,,Dunder Mifflin Support,email,Kelly Kapoor Support Form,DM Support,normal,incident,agent,Hearty Pancake,FALSE,FALSE,TRUE,,0,bad,,,,Darryl Philbin
157745,2023-08-11 09:40:34.000000,2023-08-11 09:40:34.000000,solved,2023-08-11 09:54:33.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,question,end-user,The Loop,FALSE,TRUE,FALSE,26,18,good,13.98333333,26,29,Erin Hannon (Kelly Erin Hannon)
157740,2023-08-11 09:20:43.000000,2023-08-11 09:20:43.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,task,end-user,Gawk Beauty,FALSE,FALSE,FALSE,,2885,,135.3333333,,,Meredith Palmer
157734,2023-08-11 07:30:53.000000,2023-08-11 07:30:53.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,task,end-user,Bloom Marketing,FALSE,FALSE,FALSE,,4834,,70.33333333,,,Roy Anderson
157711,2023-08-11 02:56:18.000000,2023-08-11 02:56:18.000000,solved,2023-08-14 11:01:24.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,incident,end-user,Art Fade,FALSE,FALSE,TRUE,4651,447,good,277.3666667,4651,4926,Andy Bernard
157709,2023-08-11 01:33:05.000000,2023-08-11 01:33:05.000000,open,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,problem,agent,Garden Glow,FALSE,FALSE,FALSE,,3490,,54.2,,,Roy Anderson
157703,2023-08-11 00:30:36.000000,2023-08-11 00:30:36.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,question,end-user,Evergrow,FALSE,FALSE,FALSE,,48,,47.73333333,,,Angela Martin
157698,2023-08-10 23:37:33.000000,2023-08-10 23:37:33.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,question,end-user,The Crunchy Croissant,FALSE,FALSE,FALSE,,3599,,143.5333333,,,Darryl Philbin
157697,2023-08-10 23:33:38.000000,2023-08-10 23:33:38.000000,closed,,Dunder Mifflin Support,email,Kelly Kapoor Support Form,DM Support,normal,task,end-user,The Interactive College,FALSE,FALSE,TRUE,,0,good,,,,Jan Levinson
157691,2023-08-10 22:50:27.000000,2023-08-10 22:50:27.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,problem,end-user,My Plumber,FALSE,FALSE,FALSE,,20,,20.21666667,,,Michael Scott
157689,2023-08-10 22:36:04.000000,2023-08-10 22:36:04.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,task,end-user,Urban Philosophy,FALSE,FALSE,FALSE,,1122,,45.83333333,,,Kelly Kapoor
157662,2023-08-10 21:16:57.000000,2023-08-10 21:16:57.000000,solved,2023-08-13 22:01:31.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,incident,end-user,House Brush,TRUE,FALSE,FALSE,4357,20,bad,19.83333333,4357,4365,Jim Halpert
157661,2023-08-10 21:15:06.000000,2023-08-10 21:15:06.000000,closed,,Dunder Mifflin Support,email,Kelly Kapoor Support Form,DM Support,urgent,incident,end-user,Zip Ride,FALSE,FALSE,TRUE,,0,good,,,,Oscar Martinez
157659,2023-08-10 20:39:02.000000,2023-08-10 20:39:02.000000,solved,2023-08-10 21:10:56.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,question,agent,Think Ink,TRUE,FALSE,FALSE,26,20,bad,20.73333333,26,31,Creed Bratton
157657,2023-08-10 20:31:07.000000,2023-08-10 20:31:07.000000,solved,2023-08-10 21:21:06.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,problem,agent,Smart Phone Repair,TRUE,FALSE,FALSE,11,50,bad,49.98333333,11,50,Jan Levinson
157656,2023-08-10 20:27:37.000000,2023-08-10 20:27:37.000000,hold,,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,normal,question,end-user,House Brush,FALSE,FALSE,FALSE,,1079,,0.08333333333,,,Jim Halpert
157645,2023-08-10 19:24:16.000000,2023-08-10 19:24:16.000000,solved,2023-08-11 17:50:39.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,question,end-user,Hospital Tutor,FALSE,TRUE,FALSE,357,1329,bad,464.9166667,357,1346,Stanley Hudson
157641,2023-08-10 19:02:30.000000,2023-08-10 19:02:30.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,task,end-user,Smart Phone Repair,FALSE,FALSE,FALSE,,79,,79.11666667,,,Meredith Palmer
157638,2023-08-10 18:38:26.000000,2023-08-10 18:38:26.000000,closed,,Dunder Mifflin Support,email,Kelly Kapoor Support Form,DM Support,low,problem,end-user,First Step,FALSE,FALSE,TRUE,,0,good,,,,Oscar Martinez
157637,2023-08-10 18:36:32.000000,2023-08-10 18:36:32.000000,hold,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,problem,end-user,The Glow Up,FALSE,FALSE,FALSE,,5739,,195.4333333,,,David Wallace
157630,2023-08-10 17:45:06.000000,2023-08-10 17:45:06.000000,solved,2023-08-10 19:37:02.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,problem,agent,My Vegetarian Dinner,FALSE,TRUE,FALSE,111,54,bad,54.21666667,111,112,Ryan Howard
157627,2023-08-10 17:17:02.000000,2023-08-10 17:17:02.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,task,agent,Wood Works,FALSE,FALSE,FALSE,,59,,59.46666667,,,Kevin Malone
157617,2023-08-10 16:21:55.000000,2023-08-10 16:21:55.000000,closed,,Dunder Mifflin Support,email,Kelly Kapoor Support Form,DM Support,high,task,end-user,Garden Store,FALSE,FALSE,TRUE,,0,good,,,,Creed Bratton
157610,2023-08-10 15:59:16.000000,2023-08-10 15:59:16.000000,solved,2023-08-10 23:09:08.001000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,task,end-user,The Fresh Breakfast,FALSE,FALSE,TRUE,30,430,bad,100.9333333,0,430,David Wallace
157606,2023-08-10 15:55:16.000000,2023-08-10 15:55:16.000000,closed,,Dunder Mifflin Support,email,Kelly Kapoor Support Form,DM Support,normal,task,end-user,Life By Milkshake,FALSE,FALSE,TRUE,,0,bad,,,,Jan Levinson
157602,2023-08-10 15:52:18.000000,2023-08-10 15:52:18.000000,solved,2023-08-11 13:46:28.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,question,end-user,Smart Fitness,FALSE,FALSE,TRUE,1298,54,good,40,1298,1314,Kevin Malone
157597,2023-08-10 15:31:35.000000,2023-08-10 15:31:35.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,task,end-user,Life By Milkshake,FALSE,FALSE,FALSE,,1576,,451.5,,,Kevin Malone
157596,2023-08-10 15:29:56.000000,2023-08-10 15:29:56.000000,solved,2023-08-14 10:48:07.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,question,end-user,Sister Inc,FALSE,TRUE,FALSE,5410,5479,bad,88.21666667,5410,5479,Andy Bernard
157588,2023-08-10 14:44:59.000000,2023-08-10 14:44:59.000000,solved,2023-08-10 15:03:50.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,task,end-user,Ready Continental,TRUE,FALSE,FALSE,2,19,bad,18.85,2,19,Jan Levinson
157586,2023-08-10 14:36:58.000000,2023-08-10 14:36:58.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,low,question,end-user,Art Fade,FALSE,FALSE,FALSE,,138,,137.5833333,,,Kelly Kapoor
157584,2023-08-10 14:35:27.000000,2023-08-10 14:35:27.000000,solved,2023-08-11 17:34:47.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,incident,end-user,Clean Scissor,FALSE,TRUE,FALSE,1616,54,bad,53.7,1616,1619,Creed Bratton
157580,2023-08-10 14:28:25.000000,2023-08-10 14:28:25.000000,solved,2023-08-14 15:07:56.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,incident,end-user,Art Fade,FALSE,FALSE,TRUE,5797,160,good,144.1166667,5797,5799,Meredith Palmer
157566,2023-08-10 13:29:46.000000,2023-08-10 13:29:46.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,problem,end-user,Brunchies,FALSE,FALSE,FALSE,,543,,542.25,,,Toby Flenderson
157548,2023-08-10 12:44:41.000000,2023-08-10 12:44:41.000000,pending,,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,low,question,end-user,Sky Tours,FALSE,FALSE,FALSE,,1621,,0.05,,,Karen Filippelli
157543,2023-08-10 12:23:20.000000,2023-08-10 12:23:20.000000,solved,2023-08-11 17:01:54.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,task,end-user,Clean Scissor,FALSE,FALSE,TRUE,1717,1700,bad,172.7666667,1717,1718,Erin Hannon (Kelly Erin Hannon)
157536,2023-08-10 11:39:19.000000,2023-08-10 11:39:19.000000,hold,,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,low,incident,end-user,Hospital Tutor,FALSE,FALSE,FALSE,,4059,,0.08333333333,,,Andy Bernard
157523,2023-08-10 10:13:50.000000,2023-08-10 10:13:50.000000,solved,2023-08-14 17:20:51.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,question,end-user,Wood Works,FALSE,FALSE,TRUE,6186,218,good,19.13333333,6186,6187,Karen Filippelli
157518,2023-08-10 09:40:20.000000,2023-08-10 09:40:20.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,question,agent,Hearty Pancake,FALSE,FALSE,FALSE,,73,,73.28333333,,,Karen Filippelli
157505,2023-08-10 08:15:50.000000,2023-08-10 08:15:50.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,problem,end-user,The Crunchy Croissant,FALSE,FALSE,FALSE,,244,,143.3333333,,,Roy Anderson
157484,2023-08-10 06:45:04.000000,2023-08-10 06:45:04.000000,open,,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,urgent,incident,end-user,Puff Lounge,FALSE,FALSE,FALSE,,6123,,0.06666666667,,,Angela Martin
157480,2023-08-10 06:20:19.000000,2023-08-10 06:20:19.000000,solved,2023-08-14 00:39:55.000000,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,high,incident,end-user,Easy Wings,FALSE,FALSE,TRUE,5417,642,good,0.06666666667,5417,5419,Michael Scott
157479,2023-08-10 06:19:19.000000,2023-08-10 06:19:19.000000,solved,2023-08-14 00:39:08.000000,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,high,task,end-user,Smart Phone Repair,FALSE,FALSE,TRUE,5416,2758,good,0.1,5416,5420,Roy Anderson
157476,2023-08-10 06:04:35.000000,2023-08-10 06:04:35.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,question,end-user,Urban Philosophy,FALSE,FALSE,FALSE,,1119,,190.1833333,,,Karen Filippelli
157475,2023-08-10 05:57:50.000000,2023-08-10 05:57:50.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,task,end-user,Hearty Pancake,FALSE,FALSE,FALSE,,5253,,345.35,,,Phyllis Vance
157472,2023-08-10 05:43:54.000000,2023-08-10 05:43:54.000000,solved,2023-08-14 09:14:26.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,incident,end-user,Gourmet Sandwich,FALSE,FALSE,TRUE,5786,5281,bad,342.4666667,5786,5971,Kevin Malone
157470,2023-08-10 05:35:47.000000,2023-08-10 05:35:47.000000,solved,2023-08-10 05:45:55.000000,Dunder Mifflin Support,direct,Kelly Kapoor Support Form,DM Support,high,task,end-user,Garden Glow,TRUE,FALSE,FALSE,4,0,good,0.08333333333,4,10,Angela Martin
157457,2023-08-10 03:16:00.000000,2023-08-10 03:16:00.000000,solved,2023-08-10 05:16:11.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,task,end-user,Coal Kings,FALSE,TRUE,FALSE,61,83,bad,58.2,36,120,Toby Flenderson
157444,2023-08-10 00:50:46.000000,2023-08-10 00:50:46.000000,solved,2023-08-10 02:07:01.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,urgent,task,end-user,Bloom Marketing,FALSE,FALSE,TRUE,41,73,good,51.58333333,41,77,Phyllis Vance
157435,2023-08-10 00:20:03.000000,2023-08-10 00:20:03.000000,solved,2023-08-14 11:01:24.000000,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,high,problem,agent,The Crunchy Croissant,FALSE,TRUE,FALSE,5567,844,good,2351.266667,5567,6401,Michael Scott
157419,2023-08-09 22:09:44.000000,2023-08-09 22:09:44.000000,pending,,Dunder Mifflin Support,dunder mifflin infinity,Kelly Kapoor Support Form,DM Support,normal,incident,end-user,The Zone,FALSE,FALSE,FALSE,,517,,205.65,,,Jim Halpert
